α,K,network,diversity,stability,biomass
0.92,0.1,1.0,1.0,-0.0004928315337910448,0.10563282730818538
0.92,0.16681005372000587,1.0,1.0,-0.0004890988331535844,0.17620576011399985
0.92,0.2782559402207124,1.0,0.7942645661479353,-0.0003834730424462381,0.29397936526166996
0.92,0.4641588833612779,1.0,0.7463018736349198,-0.0003806777632576346,0.48887198858818803
0.92,0.7742636826811271,1.0,0.9999999999999999,-0.0004822215904918777,0.8178753321043298
0.92,1.2915496650148839,1.0,0.964897097433389,-0.0007772758692348128,1.0517101472635395
0.92,2.154434690031884,1.0,0.9934872985506961,-0.0016924118143741551,1.277009004107205
0.92,3.5938136638046276,1.0,0.9994603434837367,-0.0032031144718244363,1.444708746209227
0.92,5.99484250318941,1.0,0.9998982874378499,-0.005347855249960773,1.5619264404238349
0.92,10.0,1.0,0.9991494867909368,-0.009352753833067403,1.639522520767812
1.0,0.1,1.0,0.8969361645209158,-0.0004994566005989701,0.09999876480401326
1.0,0.16681005372000587,1.0,0.8261311156946457,-0.0004952508725360234,0.16680852168853705
1.0,0.2782559402207124,1.0,0.3067712077576673,-0.0005123491268427155,0.27825306530649807
1.0,0.4641588833612779,1.0,0.1824768881649498,-0.0005449170684605527,0.4641521748818089
1.0,0.7742636826811271,1.0,0.5499226815099898,-0.0005144799243633548,0.7742553543191215
1.0,1.2915496650148839,1.0,0.9648972901996425,-0.0007773911956695424,1.0517049205905626
1.0,2.154434690031884,1.0,0.993491196849367,-0.001723288459284945,1.2769685494816938
1.0,3.5938136638046276,1.0,0.9994600370439806,-0.002875012715092583,1.4448102628590227
1.0,5.99484250318941,1.0,0.9998991984305958,-0.00536530637502676,1.5619054184817645
1.0,10.0,1.0,0.9991501176006258,-0.009315398136762656,1.639592488533421
1.08,0.1,1.0,NaN,-0.000847194100096149,0.09999751684696775
1.08,0.16681005372000587,1.0,NaN,-0.000843708736370328,0.16680591971089948
1.08,0.2782559402207124,1.0,NaN,-0.0008404775765598828,0.27824872426704916
1.08,0.4641588833612779,1.0,NaN,-0.0008432986707546095,0.4641459452370717
1.08,0.7742636826811271,1.0,NaN,-0.0008403603806227015,0.774244056462445
1.08,1.2915496650148839,1.0,0.9648937780354517,-0.0007708809571193218,1.051715312989617
1.08,2.154434690031884,1.0,0.9934893679112525,-0.0016855275314030223,1.2769688010179165
1.08,3.5938136638046276,1.0,0.9994599666296283,-0.002930004340750684,1.4447945380668261
1.08,5.99484250318941,1.0,0.9998991915509158,-0.005352587952765183,1.5619111777636097
1.08,10.0,1.0,0.9991463150544232,-0.009361723283200332,1.6392918278753847
0.92,0.1,2.0,0.9999999999999999,-0.0004938458625667315,0.10563264954946121
0.92,0.16681005372000587,2.0,1.0,-0.0004893284530413013,0.17620603961004294
0.92,0.2782559402207124,2.0,0.9999999999999999,-0.0004841242212570921,0.29392963948209505
0.92,0.4641588833612779,2.0,1.0,-0.0004174130241833002,0.49378204473020365
0.92,0.7742636826811271,2.0,1.0,-0.0004166617342574772,0.8236787267711788
0.92,1.2915496650148839,2.0,0.9999999999999999,-0.00048059257951528755,1.3642998236773762
